Name,MapDate,DSCI
Western,20251230,112
Western,20260106,89
Western,20260113,85
Western,20260120,89
Western,20260127,90
Western,20260203,99
Western,20260210,102
Western,20260217,111
Western,20260224,112
Western,20260303,116
Western,20260310,123
Western,20260317,133
Western,20260324,141
Western,20260331,157
Western,20260407,168
Western,20260414,172
Western,20260421,185
Western,20260428,183
Western,20260505,187
Western,20260512,195
Western,20260519,201
Western,20260526,203
Western,20260602,204
Western,20260609,203
Western,20260616,204
